РЦ Транзитный,РЦ Географический,Код ТП,Наименование ТП,Тип склада,Формат для диаграмм,Целевая ЦП,Действующая ЦП,СТМ,Признак объемности,Локальность,"отгрузки по РЦ-ТП сред знач за 3 мес, пал","отгрузки по ТРЦ-ТП сред знач за 3 мес, пал"
РЦ Самара (а),РЦ ПД Киров,408819,SKU_029901,5-я камера,ТД,ФРЦ,ФРЦ,Нет,-,-,10.68,11.11
РЦ Самара (а),РЦ ПД Киров,758177,SKU_040708,Заморозка,МИКС,ПД,ПД,Да,-,-,1.5,1.9
РЦ Самара (а),РЦ ПД Зеленодольск,722927,SKU_034856,5-я камера,ФД,ТРЦ,ТРЦ,Нет,-,-,11.3,14.52
РЦ Самара (а),РЦ ПД Киров,799207,SKU_023170,Пресервы,МД,ФРЦ,ПД,Нет,-,-,1.69,1.94
РЦ Самара (а),РЦ ПД Тольятти,888545,SKU_014571,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,Локал.,0.09,0.12
РЦ Самара (а),РЦ ПД Зеленодольск,830979,SKU_004033,Заморозка,МИКС,ПД,ПД,Да,-,-,2.23,2.57
РЦ Ростов (а),РЦ ПД Краснодар,635310,SKU_028520,Основной склад,МД,ТРЦ,МП,Нет,-,-,0.99,1.01
РЦ Самара (а),РЦ ПД Зеленодольск,329228,SKU_032669,Основной склад,МК,ТРЦ,ПД,Нет,-,-,0.7,0.95
РЦ Самара (а),РЦ ПД Киров,236236,SKU_035906,Охлажденка,БФ,ПД,ПД,Нет,-,-,0.81,1.08
РЦ Самара (а),РЦ ПД Энгельс,631597,SKU_032629,Основной склад,МИКС,Федеральный пулинг,Федеральный пулинг,Да,-,-,16.98,18.41
РЦ Самара (а),РЦ ПД Зеленодольск,759033,SKU_032412,Заморозка,МИКС,ПД,ПД,Нет,+,-,0.17,0.17
РЦ Самара (а),РЦ ПД Пенза,295410,SKU_013108,Основной склад,МД,ПД,МП,Да,-,-,2.4,2.81
РЦ Самара (а),РЦ ПД Киров,777498,SKU_003137,Охлажденка,ТД,ПД,ПД,Нет,+,-,2.45,2.6
РЦ Самара (а),РЦ ПД Тольятти,570028,SKU_048466,Основной склад,МД,ФРЦ,ФРЦ,Да,-,-,0.67,0.78
РЦ Самара (а),РЦ ПД Киров,584409,SKU_009083,Основной склад,МК,ПД,ПД,Нет,-,-,1.69,1.79
РЦ Самара (а),РЦ ПД Киров,650966,SKU_021674,Основной склад,МИКС,ТРЦ,ТРЦ,Да,-,-,0.25,0.28
РЦ Самара (а),РЦ ПД Тольятти,333596,SKU_015796,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.8,1.11
РЦ Самара (а),РЦ ПД Киров,125368,SKU_029635,Основной склад,МД,ПД,ПД,Нет,-,-,2.09,2.29
РЦ Самара (а),РЦ ПД Тольятти,584296,SKU_045600,Основной склад,МД,ПД,ФРЦ,Да,-,-,6.51,8.76
РЦ Самара (а),РЦ ПД Зеленодольск,531354,SKU_036331,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,7.5,10.3
РЦ Самара (а),РЦ ПД Зеленодольск,573162,SKU_019746,Заморозка,МД,ПД,ПД,Нет,-,-,0.31,0.34
РЦ Самара (а),РЦ ПД Пенза,481447,SKU_049938,Охлажденка,ФД,ПД,ПД,Нет,-,-,4.01,4.93
РЦ Самара (а),РЦ ПД Зеленодольск,149485,SKU_044209,Основной склад,МД,ПД,ПД,Нет,-,-,0.22,0.31
РЦ Самара (а),РЦ ПД Зеленодольск,493788,SKU_016356,Пресервы,МД,ПД,ПД,Нет,-,-,0.36,0.39
РЦ Самара (а),РЦ ПД Зеленодольск,416067,SKU_035911,Заморозка,МД,ПД,ПД,Нет,-,-,2.41,3.36
РЦ Самара (а),РЦ ПД Энгельс,151850,SKU_022956,Заморозка,ФД,ПД,ПД,Нет,-,-,21.18,27.83
РЦ Самара (а),РЦ ПД Тольятти,904558,SKU_026862,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.16,2.24
РЦ Самара (а),РЦ ПД Пенза,356664,SKU_029482,Основной склад,МД,ПД,ПД,Нет,-,-,5.56,6.4
РЦ Подольск (а),РЦ ПД Тула,695324,SKU_033005,Охлажденка,МД,ПД,ПД,Нет,-,-,1.82,2.18
РЦ Самара (а),РЦ ПД Энгельс,417338,SKU_047349,Основной склад,МК,ПД,ПД,Нет,+,-,0.52,0.56
РЦ Самара (а),РЦ ПД Тольятти,683053,SKU_035745,Заморозка,МИКС,ПД,МП,Да,-,-,5.05,6.02
РЦ Самара (а),РЦ ПД Пенза,333708,SKU_012947,Основной склад,МД,ПД,ПД,Да,-,Локал.,6.41,7.35
РЦ Самара (а),РЦ ПД Тольятти,794052,SKU_040038,Основной склад,МК,ПД,ПД,Нет,-,-,0.31,0.41
РЦ Самара (а),РЦ ПД Тольятти,614055,SKU_024675,Охлажденка,БФ,ПД,ПД,Нет,-,-,10.9,11.45
РЦ Самара (а),РЦ ПД Тольятти,693621,SKU_014741,5-я камера,МД,ПД,ПД,Нет,-,-,0.94,1.24
РЦ Самара (а),РЦ ПД Киров,232480,SKU_034738,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.08,2.71
РЦ Самара (а),РЦ ПД Зеленодольск,824688,SKU_044342,5-я камера,МД,ТРЦ,ТРЦ,Да,-,-,0.49,0.63
РЦ Подольск (а),РЦ ПД Тула,519522,SKU_025935,Основной склад,МК,ПД,ПД,Да,-,-,2.25,2.88
РЦ Самара (а),РЦ ПД Киров,246240,SKU_029199,Основной склад,МД,ПД,ПД,Нет,-,-,4.36,5.9
РЦ Самара (а),РЦ ПД Киров,765795,SKU_020344,Охлажденка,ФД,МП,МП,Нет,-,-,0.52,0.58
РЦ Самара (а),РЦ ПД Зеленодольск,735909,SKU_017128,Основной склад,ФД,ТРЦ,ФРЦ,Нет,+,-,0.63,0.84
РЦ Самара (а),РЦ ПД Киров,984417,SKU_036447,Основной склад,МД,ПД,ПД,Нет,-,-,0.91,1.12
РЦ Самара (а),РЦ ПД Киров,732832,SKU_027471,Основной склад,МД,ПД,ПД,Нет,-,-,0.8,1.11
РЦ Самара (а),РЦ ПД Пенза,417246,SKU_018038,Основной склад,ТД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.21,1.64
РЦ Самара (а),РЦ ПД Киров,629807,SKU_047065,Охлажденка,МД,Федеральный пулинг,Федеральный пулинг,Да,-,-,0.06,0.06
РЦ Самара (а),РЦ ПД Пенза,474959,SKU_010808,Заморозка,МИКС,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.41,0.51
РЦ Самара (а),РЦ ПД Тольятти,697826,SKU_038331,Основной склад,МК,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.07,2.65
РЦ Самара (а),РЦ ПД Киров,527498,SKU_025144,Основной склад,МД,ПД,ФРЦ,Да,-,-,1.63,1.71
РЦ Самара (а),РЦ ПД Зеленодольск,170388,SKU_002989,Основной склад,ТД,ФРЦ,ФРЦ,Нет,-,-,0.21,0.27
РЦ Самара (а),РЦ ПД Энгельс,730890,SKU_010721,Основной склад,БФ,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.89,1.06
РЦ Самара (а),РЦ ПД Тольятти,274050,SKU_041096,Охлажденка,МД,ПД,ПД,Нет,-,-,4.0,4.78
РЦ Самара (а),РЦ ПД Тольятти,257665,SKU_006721,Основной склад,ФД,ТРЦ PBL,ПД,Нет,-,-,0.72,0.85
РЦ Самара (а),РЦ ПД Зеленодольск,781936,SKU_042835,Основной склад,МД,ПД,ПД,Нет,-,-,1.89,2.21
РЦ Самара (а),РЦ ПД Энгельс,281346,SKU_020943,Основной склад,ТД,ТРЦ,ТРЦ,Да,-,-,0.82,1.02
РЦ Самара (а),РЦ ПД Пенза,661068,SKU_039806,Заморозка,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.26,3.12
РЦ Самара (а),РЦ ПД Пенза,440228,SKU_029452,Основной склад,МК,МП,ПД,Нет,-,-,14.01,14.53
РЦ Самара (а),РЦ ПД Пенза,755545,SKU_000760,Основной склад,МД,ПД,ФРЦ,Нет,-,-,5.53,7.62
РЦ Самара (а),РЦ ПД Зеленодольск,459191,SKU_028054,5-я камера,ФД,ПД,ПД,Нет,-,-,5.25,6.6
РЦ Самара (а),РЦ ПД Киров,747256,SKU_012783,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.59,0.82
РЦ Самара (а),РЦ ПД Тольятти,949892,SKU_034336,Основной склад,ФД,ПД,ТРЦ PBL,Да,-,-,5.5,5.84
РЦ Самара (а),РЦ ПД Энгельс,161919,SKU_037915,Основной склад,МК,ФРЦ,ФРЦ,Нет,-,-,4.87,5.29
РЦ Самара (а),РЦ ПД Энгельс,918739,SKU_007511,Заморозка,МД,ПД,ПД,Нет,-,-,0.11,0.13
РЦ Самара (а),РЦ ПД Зеленодольск,184681,SKU_030164,Пресервы,МК,ПД,ПД,Нет,-,Локал.,1.43,1.55
РЦ Самара (а),РЦ ПД Тольятти,828702,SKU_045987,Заморозка,МК,ФРЦ,ФРЦ,Нет,-,-,1.32,1.43
РЦ Самара (а),РЦ ПД Зеленодольск,804051,SKU_010372,5-я камера,МД,ПД,ПД,Нет,-,-,10.67,10.82
РЦ Самара (а),РЦ ПД Пенза,694794,SKU_049157,Охлажденка,МД,ПД,ПД,Нет,+,-,2.72,3.32
РЦ Самара (а),РЦ ПД Киров,914655,SKU_044303,Основной склад,МК,ПД,ПД,Да,-,-,4.6,4.8
РЦ Самара (а),РЦ ПД Тольятти,852647,SKU_038071,Пресервы,МИКС,ТРЦ PBL,ТРЦ PBL,Нет,-,-,3.47,3.85
РЦ Самара (а),РЦ ПД Тольятти,820742,SKU_003311,Заморозка,МД,ПД,ПД,Нет,-,-,7.81,7.98
РЦ Самара (а),РЦ ПД Зеленодольск,738725,SKU_036562,Основной склад,ФД,ПД,ПД,Нет,-,Локал.,0.45,0.49
РЦ Самара (а),РЦ ПД Киров,266693,SKU_014620,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,2.53,2.67
РЦ Самара (а),РЦ ПД Тольятти,463423,SKU_038200,Основной склад,МД,ПД,ПД,Нет,-,-,2.72,3.31
РЦ Самара (а),РЦ ПД Тольятти,535695,SKU_011778,Заморозка,ТД,ФРЦ,ФРЦ,Нет,-,-,0.16,0.18
РЦ Самара (а),РЦ ПД Энгельс,755622,SKU_027413,Заморозка,МИКС,ПД,ПД,Нет,-,-,3.82,4.9
РЦ Самара (а),РЦ ПД Энгельс,391896,SKU_044891,Заморозка,МД,ПД,ПД,Да,-,-,2.28,2.65
РЦ Самара (а),РЦ ПД Зеленодольск,229987,SKU_006025,Основной склад,МИКС,ФРЦ,ПД,Нет,-,-,17.08,21.39
РЦ Самара (а),РЦ ПД Киров,718145,SKU_018970,Охлажденка,ФД,ПД,ПД,Нет,-,-,0.35,0.41
РЦ Самара (а),РЦ ПД Зеленодольск,706034,SKU_049254,Основной склад,МД,ТРЦ,ТРЦ,Да,-,-,3.06,3.7
РЦ Самара (а),РЦ ПД Пенза,753228,SKU_041834,Пресервы,ФД,ПД,ПД,Нет,-,-,4.09,4.92
РЦ Самара (а),РЦ ПД Киров,517605,SKU_041745,Основной склад,ТД,ПД,ПД,Нет,-,-,2.78,3.63
РЦ Самара (а),РЦ ПД Зеленодольск,111574,SKU_041147,Основной склад,МД,ПД,ПД,Нет,-,Локал.,0.17,0.18
РЦ Самара (а),РЦ ПД Киров,163848,SKU_011119,Заморозка,МД,ПД,ПД,Нет,-,-,2.58,3.35
РЦ Самара (а),РЦ ПД Зеленодольск,239548,SKU_003611,Основной склад,МД,ПД,ПД,Нет,-,-,4.7,5.16
РЦ Самара (а),РЦ ПД Зеленодольск,829366,SKU_046438,Основной склад,БФ,Федеральный пулинг,ПД,Нет,-,Регион.,0.94,1.11
РЦ Самара (а),РЦ ПД Тольятти,272762,SKU_000589,Заморозка,МД,ФРЦ,ПД,Нет,-,Локал.,0.7,0.93
РЦ Самара (а),РЦ ПД Энгельс,823809,SKU_013445,Охлажденка,МК,ФРЦ,ФРЦ,Нет,-,-,11.68,12.88
РЦ Самара (а),РЦ ПД Зеленодольск,595530,SKU_019970,Основной склад,МД,ПД,ПД,Нет,-,-,3.99,4.5
РЦ Самара (а),РЦ ПД Зеленодольск,954367,SKU_000375,Основной склад,МД,МП,ПД,Да,-,-,0.75,0.79
РЦ Самара (а),РЦ ПД Пенза,459358,SKU_036122,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,3.26,4.24
РЦ Самара (а),РЦ ПД Киров,960121,SKU_027637,Заморозка,МД,ПД,ПД,Да,-,-,10.21,13.61
РЦ Самара (а),РЦ ПД Зеленодольск,517467,SKU_047412,Заморозка,МД,ПД,ПД,Нет,-,-,14.51,14.85
РЦ Самара (а),РЦ ПД Киров,497561,SKU_038009,Основной склад,МК,ПД,ПД,Нет,-,-,8.24,9.43
РЦ Самара (а),РЦ ПД Энгельс,526600,SKU_044628,Основной склад,МК,ПД,ПД,Нет,-,-,1.53,1.82
РЦ Самара (а),РЦ ПД Пенза,337263,SKU_017530,Основной склад,МК,ТРЦ PBL,ПД,Нет,-,-,1.22,1.45
РЦ Самара (а),РЦ ПД Пенза,566605,SKU_026726,Основной склад,МД,МП,МП,Нет,-,-,4.47,5.13
РЦ Самара (а),РЦ ПД Энгельс,771728,SKU_032391,Заморозка,ФД,ПД,ПД,Нет,+,-,1.63,2.07
РЦ Самара (а),РЦ ПД Энгельс,248154,SKU_018163,Основной склад,МК,ТРЦ,ФРЦ,Нет,-,-,0.71,0.96
РЦ Самара (а),РЦ ПД Тольятти,868387,SKU_011667,Пресервы,МД,ПД,ПД,Нет,-,-,2.44,2.93
РЦ Самара (а),РЦ ПД Тольятти,183005,SKU_016632,Основной склад,МД,ПД,ПД,Нет,-,-,1.9,2.06
РЦ Самара (а),РЦ ПД Зеленодольск,833058,SKU_014146,Основной склад,МК,ПД,ПД,Нет,-,-,3.53,3.61
РЦ Самара (а),РЦ ПД Энгельс,445690,SKU_011009,Основной склад,МК,ПД,ПД,Нет,-,-,2.71,3.67
РЦ Ростов (а),РЦ ПД Ростов,964427,SKU_037085,Основной склад,МИКС,ПД,ПД,Да,-,-,0.9,1.13
РЦ Самара (а),РЦ ПД Киров,102299,SKU_014311,Охлажденка,ТД,ТРЦ,ТРЦ,Нет,-,-,14.07,17.43
РЦ Самара (а),РЦ ПД Зеленодольск,169409,SKU_012937,5-я камера,МД,ПД,ПД,Нет,-,-,5.38,5.69
РЦ Самара (а),РЦ ПД Тольятти,537022,SKU_021693,Основной склад,МИКС,ТРЦ PBL,ТРЦ PBL,Нет,-,Регион.,2.41,2.49
РЦ Самара (а),РЦ ПД Зеленодольск,722658,SKU_027291,Основной склад,ФД,Федеральный пулинг,ПД,Нет,-,-,0.27,0.35
РЦ Самара (а),РЦ ПД Энгельс,428672,SKU_028243,Охлажденка,МИКС,ПД,ПД,Нет,-,-,3.05,3.73
РЦ Самара (а),РЦ ПД Пенза,192643,SKU_026308,Заморозка,МК,ПД,ПД,Нет,-,-,0.23,0.31
РЦ Самара (а),РЦ ПД Тольятти,843788,SKU_009422,Пресервы,МИКС,ПД,ПД,Да,-,-,0.13,0.13
РЦ Самара (а),РЦ ПД Зеленодольск,292986,SKU_031454,5-я камера,МД,ТРЦ,ТРЦ,Нет,-,-,3.2,3.8
РЦ Самара (а),РЦ ПД Пенза,552535,SKU_012384,Охлажденка,МК,ПД,ПД,Нет,-,-,2.48,3.0
РЦ Самара (а),РЦ ПД Киров,248939,SKU_044351,Основной склад,МК,ПД,ПД,Нет,+,-,0.35,0.45
РЦ Самара (а),РЦ ПД Киров,203468,SKU_021424,Заморозка,МД,ПД,ПД,Нет,-,-,2.46,3.08
РЦ Самара (а),РЦ ПД Зеленодольск,493317,SKU_010112,Основной склад,ТД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,3.82,4.16
РЦ Самара (а),РЦ ПД Киров,421701,SKU_047660,Пресервы,МД,ПД,ПД,Нет,-,-,0.17,0.22
РЦ Самара (а),РЦ ПД Тольятти,867159,SKU_004928,Основной склад,МД,МП,МП,Нет,-,-,0.12,0.14
РЦ Самара (а),РЦ ПД Киров,442249,SKU_040813,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.34,0.39
РЦ Самара (а),РЦ ПД Киров,169138,SKU_025823,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,Локал.,2.73,3.35
РЦ Самара (а),РЦ ПД Пенза,584355,SKU_015864,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,0.27,0.29
РЦ Самара (а),РЦ ПД Энгельс,166207,SKU_045394,Пресервы,МД,ПД,ПД,Да,-,-,0.06,0.07
РЦ Самара (а),РЦ ПД Энгельс,935322,SKU_017619,Основной склад,МД,МП,МП,Нет,-,-,1.07,1.21
РЦ Самара (а),РЦ ПД Киров,987842,SKU_038927,Заморозка,МК,ПД,ПД,Нет,-,-,0.18,0.19
РЦ Самара (а),РЦ ПД Тольятти,826465,SKU_015169,Пресервы,МД,ПД,ПД,Нет,-,-,0.78,0.79
РЦ Самара (а),РЦ ПД Зеленодольск,712873,SKU_019436,Пресервы,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.1,1.15
РЦ Самара (а),РЦ ПД Тольятти,836573,SKU_013745,Основной склад,МД,ПД,ПД,Нет,-,-,0.29,0.39
РЦ Самара (а),РЦ ПД Тольятти,688113,SKU_006588,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,8.06,9.95
РЦ Самара (а),РЦ ПД Киров,861282,SKU_046118,Заморозка,МИКС,ПД,ПД,Нет,-,-,2.88,3.56
РЦ Самара (а),РЦ ПД Тольятти,486197,SKU_027326,Заморозка,МИКС,ФРЦ,ФРЦ,Нет,-,-,2.05,2.85
РЦ Самара (а),РЦ ПД Зеленодольск,405786,SKU_029010,Основной склад,МК,ПД,ПД,Нет,-,-,4.07,4.79
РЦ Самара (а),РЦ ПД Зеленодольск,508765,SKU_003947,Охлажденка,МД,МП,МП,Нет,-,-,0.46,0.54
РЦ Самара (а),РЦ ПД Киров,114349,SKU_016483,Основной склад,МД,ПД,ПД,Да,-,-,11.24,12.17
РЦ Самара (а),РЦ ПД Киров,274525,SKU_024893,Основной склад,МК,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.29,2.68
РЦ Самара (а),РЦ ПД Зеленодольск,540705,SKU_001408,Пресервы,ФД,ПД,ПД,Нет,-,Регион.,2.98,3.63
РЦ Самара (а),РЦ ПД Киров,694884,SKU_014872,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,-,1.5,1.76
РЦ Самара (а),РЦ ПД Зеленодольск,287311,SKU_010366,Заморозка,МД,ФРЦ,ФРЦ,Нет,-,-,149.62,149.9
РЦ Самара (а),РЦ ПД Киров,783732,SKU_024681,Основной склад,МД,ТРЦ,МП,Нет,-,-,3.35,4.06
РЦ Самара (а),РЦ ПД Киров,920631,SKU_027435,Охлажденка,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,13.43,13.84
